-2.50E+02,-2.00E-06
-2.49E+02,-1.92E-06
-2.48E+02,-1.83E-06
-2.47E+02,-1.71E-06
-2.46E+02,-1.60E-06
-2.45E+02,-1.44E-06
-2.44E+02,-1.26E-06
-2.43E+02,-1.08E-06
-2.42E+02,-8.42E-07
-2.41E+02,-6.13E-07
-2.40E+02,-3.20E-07
-2.39E+02,-1.23E-07
-2.38E+02,1.07E-07
-2.37E+02,3.06E-07
-2.36E+02,4.44E-07
-2.35E+02,6.72E-07
-2.34E+02,8.76E-07
-2.33E+02,1.11E-06
-2.32E+02,1.35E-06
-2.31E+02,1.59E-06
-2.30E+02,1.83E-06
-2.29E+02,2.25E-06
-2.28E+02,2.53E-06
-2.27E+02,2.99E-06
-2.26E+02,3.35E-06
-2.25E+02,3.75E-06
-2.24E+02,4.27E-06
-2.23E+02,4.67E-06
-2.22E+02,5.33E-06
-2.21E+02,5.80E-06
-2.20E+02,6.41E-06
-2.19E+02,7.24E-06
-2.18E+02,8.10E-06
-2.17E+02,8.87E-06
-2.16E+02,9.43E-06
-2.15E+02,1.08E-05
-2.14E+02,1.16E-05
-2.13E+02,1.28E-05
-2.12E+02,1.40E-05
-2.11E+02,1.51E-05
-2.10E+02,1.64E-05
-2.09E+02,1.74E-05
-2.08E+02,1.90E-05
-2.07E+02,2.04E-05
-2.06E+02,2.17E-05
-2.05E+02,2.35E-05
-2.04E+02,2.52E-05
-2.03E+02,2.72E-05
-2.02E+02,2.88E-05
-2.01E+02,3.06E-05
-2.00E+02,3.30E-05
-1.99E+02,3.45E-05
-1.98E+02,3.70E-05
-1.97E+02,3.90E-05
-1.96E+02,4.17E-05
-1.95E+02,4.34E-05
-1.94E+02,4.59E-05
-1.93E+02,4.81E-05
-1.92E+02,5.13E-05
-1.91E+02,5.40E-05
-1.90E+02,5.69E-05
-1.89E+02,5.97E-05
-1.88E+02,6.24E-05
-1.87E+02,6.65E-05
-1.86E+02,6.98E-05
-1.85E+02,7.29E-05
-1.84E+02,7.66E-05
-1.83E+02,8.02E-05
-1.82E+02,8.36E-05
-1.81E+02,8.84E-05
-1.80E+02,9.26E-05
-1.79E+02,9.74E-05
-1.78E+02,1.01E-04
-1.77E+02,1.07E-04
-1.76E+02,1.10E-04
-1.75E+02,1.16E-04
-1.74E+02,1.21E-04
-1.73E+02,1.28E-04
-1.72E+02,1.34E-04
-1.71E+02,1.40E-04
-1.70E+02,1.47E-04
-1.69E+02,1.53E-04
-1.68E+02,1.61E-04
-1.67E+02,1.71E-04
-1.66E+02,1.79E-04
-1.65E+02,1.90E-04
-1.64E+02,1.97E-04
-1.63E+02,2.07E-04
-1.62E+02,2.21E-04
-1.61E+02,2.31E-04
-1.60E+02,2.46E-04
-1.59E+02,2.61E-04
-1.58E+02,2.75E-04
-1.57E+02,2.94E-04
-1.56E+02,3.10E-04
-1.55E+02,3.32E-04
-1.54E+02,3.53E-04
-1.53E+02,3.76E-04
-1.52E+02,4.06E-04
-1.51E+02,4.33E-04
-1.50E+02,4.67E-04
-1.49E+02,4.98E-04
-1.48E+02,5.36E-04
-1.47E+02,5.74E-04
-1.46E+02,6.14E-04
-1.45E+02,6.57E-04
-1.44E+02,7.01E-04
-1.43E+02,7.50E-04
-1.42E+02,8.03E-04
-1.41E+02,8.60E-04
-1.40E+02,9.21E-04
-1.39E+02,9.72E-04
-1.38E+02,1.02E-03
-1.37E+02,1.04E-03
-1.36E+02,1.05E-03
-1.35E+02,1.05E-03
-1.34E+02,1.05E-03
-1.33E+02,1.05E-03
-1.32E+02,1.05E-03
-1.31E+02,1.05E-03
-1.30E+02,1.05E-03
-1.29E+02,1.05E-03
-1.28E+02,1.05E-03
-1.27E+02,1.05E-03
-1.26E+02,1.05E-03
-1.25E+02,1.05E-03
-1.24E+02,1.05E-03
-1.23E+02,1.05E-03
-1.22E+02,1.05E-03
-1.21E+02,1.05E-03
-1.20E+02,1.05E-03
-1.19E+02,1.05E-03
-1.18E+02,1.05E-03
-1.17E+02,1.05E-03
-1.16E+02,1.05E-03
-1.15E+02,1.05E-03
-1.14E+02,1.05E-03
-1.13E+02,1.05E-03
-1.12E+02,1.05E-03
-1.11E+02,1.05E-03
-1.10E+02,1.05E-03
-1.09E+02,1.05E-03
-1.08E+02,1.05E-03
-1.07E+02,1.05E-03
-1.06E+02,1.05E-03
-1.05E+02,1.05E-03
-1.04E+02,1.05E-03
-1.03E+02,1.05E-03
-1.02E+02,1.05E-03
-1.01E+02,1.05E-03
-1.00E+02,1.05E-03
